Pathway	G89286	G89287	G89288	G89290	G89292	G89293	G89294	G89295	G89296	G89297	G89299	G89300	G89301	G89302	G89303	G89304	G89305	G89307	G89308	G89309	G89311	G89312	G89313	G89314	G89315	G89316	G89317	G89320	G89321	G89322	G89323	G89324	G89325	G89328	G89329	G89330	G89331	G89332	G89333	G89334	G89335	G89336	G89338	G89339	G89340	G89341	G89343	G89344	G89345	G89347	G89348	G89349	G89350	G89351	G89352	G89353	G89354	G89355	G89356	G89358	G89360	G89361	G89362	G89363	G89364	G89365	G89366	G89368	G89369	G89370	G89372	G89373	G89374	G89375	G89378	G89379	G89380	G89381
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_3_2_5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2253e-5	0	0	0	0	0	0	0	0	0	0	8.61668e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	1.7285e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42312e-5	0	0	0	0	0	0	1.95374e-5	0	0	0	0	0	0	0	0	4.18313e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91224e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	1.43071e-6	0	1.44034e-5	0	4.43284e-5	0	0	0	0	0	5.86561e-5	0	3.14344e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90812e-5	0	0	0	0	0	0	0	0	3.33623e-6	0	0	0	0	0	0	0	0	0	2.34519e-5	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	1.30365e-5	0	0	0	0	1.0036e-5	0	0	3.29353e-6	0	5.15247e-5	6.16098e-6	0	0	2.01964e-5	3.45205e-6	3.87717e-6	0	2.23999e-5	0	0	0	0	0	1.16858e-5	0	0	0	0	2.28567e-6	5.14219e-5	3.53314e-6	0	0	7.65091e-7	8.00261e-6	2.13938e-4	0	0	0	0	4.45874e-7	1.45713e-6	0	0	0	0	2.45172e-6	0	0	3.30254e-5	0	0	0	0	1.87131e-5	0	0	1.95146e-5	0	0	0	6.96591e-6	2.53029e-5	0	0	0	0	0	0	0	0	0	1.62126e-5	0	3.14843e-5	0	2.02238e-5
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	2.9076e-7	3.28621e-6	1.65743e-5	0	0	0	0	0	0	0	4.45372e-6	0	0	4.67194e-5	0	4.047e-6	0	0	0	0	0	0	0	0	0	0	0	0	1.20303e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89749e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53629e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	2.24552e-6	1.83373e-5	1.94715e-6	2.92735e-6	0	1.62514e-6	0	0	0	0	0	0	0	0	0	9.45068e-6	0	0	0	0	1.83197e-5	0	0	0	0	0	1.90095e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77539e-6	0	0	0	0	0	0	0	0	0	0	0	4.08078e-6	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_johnsonii	0	0	0	0	0	0	0	0	4.47854e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	2.95913e-6	0	2.62177e-6	0	0	2.25932e-5	0	0	0	0	0	1.21171e-5	0	0	0	0	0	0	0	0	0	0	0	7.38108e-6	0	0	0	0	2.03926e-6	2.57835e-6	0	0	2.90396e-5	0	0	0	0	0	0	3.33584e-5	4.68535e-5	0	0	0	0	2.39539e-5	0	0	0	0	4.84893e-6	0	0	0	0	2.26812e-5	0	0	0	0	0	0	0	0	0	0	2.11231e-5	0	0	0	0	5.69594e-5	0	8.4474e-6	0	1.36105e-5	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0	0	0	0	0	0	0	0	7.21705e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38783e-5	3.0193e-5	0	0	0	4.59718e-5	0	0	1.49976e-5	0	0	0	0	0	0	0	1.89304e-5	0	0	0	2.82859e-5	2.42366e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62898e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62898e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93984e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.93984e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	1.05124e-4	8.92456e-5	2.17104e-5	1.95435e-4	6.64433e-5	2.12286e-4	9.37013e-6	1.72318e-4	2.68228e-4	4.72755e-5	7.29506e-5	6.38645e-5	1.03955e-5	6.30143e-5	4.09053e-5	1.22497e-4	1.16246e-4	1.42028e-4	0	5.32589e-5	4.55918e-6	2.3561e-5	4.67526e-5	3.07299e-5	1.21804e-4	4.07644e-5	1.79242e-4	4.85897e-4	6.54759e-5	2.4774e-4	1.13088e-4	2.70143e-5	8.90192e-5	8.79999e-5	6.68753e-5	5.45107e-5	9.39173e-6	1.16772e-4	1.88449e-4	4.89174e-5	6.90489e-5	6.8381e-5	7.92803e-5	7.03544e-5	2.39702e-4	2.61469e-5	0	8.9937e-5	3.52631e-6	0	1.26073e-4	1.50039e-4	0	4.73104e-5	2.60751e-5	1.38153e-4	4.6711e-4	0	1.00676e-4	5.32155e-6	4.91427e-7	2.01753e-4	3.07553e-4	3.03283e-5	3.84437e-5	3.02663e-5	0	1.24677e-4	4.83851e-4	0	1.39543e-4	3.08015e-4	1.50554e-4	3.95101e-6	0	6.25074e-5	1.31638e-5	5.34406e-5
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91878e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18086e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	0	0	3.03728e-5	0	0	0	0	0	0	0	0	0	0	0	3.24669e-5	0	1.10041e-5	0	0	0	0	0	0	0	0	3.78298e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09798e-5	5.10212e-5	0	0	0	0	0	0	0	3.06357e-5	0	0	0	0	8.02568e-5	0	2.28925e-5	0	0	0	3.61426e-5	0	0	0	0	1.04111e-4	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	3.13033e-4	1.75219e-4	1.79225e-4	0.00103354	4.11738e-4	6.49429e-4	6.21112e-5	0.00156658	7.4803e-4	8.5027e-5	1.94845e-4	3.16833e-4	1.9904e-4	4.12145e-4	7.64448e-5	4.32761e-4	8.52752e-4	6.45156e-4	4.41662e-4	2.78866e-4	2.25286e-4	2.4117e-4	1.87904e-4	1.73942e-4	0.00110638	1.59865e-4	0.00153995	0.00210886	1.24001e-4	4.36492e-4	4.68788e-4	1.03744e-4	2.39841e-4	5.97962e-4	9.76027e-4	1.14474e-4	1.67289e-4	3.68975e-4	5.60419e-4	2.01394e-4	2.09542e-4	5.51736e-4	3.17805e-4	4.96003e-4	9.99839e-4	1.90746e-4	4.99227e-4	6.78956e-4	1.70483e-4	3.39613e-4	4.03306e-4	7.60538e-4	3.76375e-4	6.32706e-4	9.30888e-5	2.54867e-4	8.17395e-4	7.10562e-5	5.82792e-4	4.03986e-4	9.21424e-5	9.97243e-4	8.5826e-4	4.83428e-5	3.83596e-5	2.42482e-4	1.15001e-4	3.31195e-4	0.0012639	0	7.9966e-4	0.0012214	3.15764e-4	1.38872e-4	2.33113e-4	8.49906e-5	9.77057e-6	2.07274e-4
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	5.02811e-6	0	0	1.49937e-4	0	0	4.481e-6	0	0	0	0	0	0	0	5.76638e-6	0	0	0	0	0	0	0	0	0	1.49663e-6	0	0	0	0	0	0	0	1.80908e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18548e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_ovatus	0	0	2.18303e-7	1.27972e-5	1.36997e-5	0	0	0	1.6331e-5	0	0	0	0	0	0	0	0	1.23306e-5	0	0	5.04943e-6	0	0	0	0	0	0	0	0	0	0	7.19284e-6	0	0	0	0	0	0	0	3.45811e-6	0	0	0	0	0	0	0	0	0	0	1.74453e-6	2.61741e-7	0	0	0	8.50899e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	7.49373e-7	1.24379e-5	1.99294e-5	0	0	0	0	0	0	0	0	0	0	2.15692e-5	0	8.7169e-6	0	0	0	0	0	0	0	0	0	0	0	0	1.69575e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	2.12202e-5	0	0	2.34389e-5	0	0	2.92041e-5	9.93333e-7	1.12922e-5	0	1.64758e-6	0	0	0	0	6.53724e-7	0	6.23282e-6	0	0	3.02926e-5	0	0	0	0	0	0	1.89407e-6	0	1.71123e-6	0	0	0	0	7.962e-5	0	0	0	0	0	8.70908e-6	0	0	0	0	1.2495e-5	0	0	0	0	0	0	0	0	0	7.78119e-7	0	0	0	0	0	1.80643e-4	0	0	2.18925e-5	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	6.25605e-6	0	0	0	0	0	0	0	0	0	0	0	1.85783e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.03008e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Odoribacter.s__Odoribacter_splanchnicus	1.89185e-6	0	0	0	0	7.32296e-6	0	0	5.0785e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21151e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78941e-6	2.27956e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Prevotella.s__Prevotella_buccae	0	1.78193e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0	0	0	5.69649e-5	0	0	0	0	3.05815e-5	0	0	0	0	0	0	6.00309e-5	3.76041e-4	2.45455e-5	0	0	0	0	0	0	0	0	4.24995e-4	0	0	0	3.09543e-5	0	0	2.17554e-4	0	0	0	5.65741e-6	0	0	0	0	8.12099e-5	1.39677e-4	0	5.84894e-5	0	0	0	0	0	1.74232e-4	0	2.16665e-5	0	0	1.02371e-4	0	7.28454e-5	0	1.63145e-5	1.32218e-4	7.1298e-5	1.14277e-5	0	0	0	2.7619e-4	0	0	0	0	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	0	7.67067e-6	1.03915e-6	0	0	8.19525e-6	0	0	0	0	0	0	0	1.07161e-5	4.86856e-6	4.97588e-6	0	0	0	0	0	0	2.03402e-6	0	7.55322e-6	0	0	0	0	0	0	0	7.04949e-6	0	0	1.26298e-6	0	0	0	1.66628e-5	0	0	0	0	0	6.61055e-6	0	0	0	2.21552e-6	0	0	0	0	4.55184e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39094e-5	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07512e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	9.00583e-5	0	6.28376e-5	1.87195e-4	8.64844e-5	5.8037e-5	3.8301e-5	1.34648e-4	7.77473e-5	0	2.06992e-4	2.83791e-5	4.20683e-5	4.78056e-5	6.01539e-5	9.93323e-5	1.43092e-4	1.23563e-4	9.23265e-5	5.20751e-5	3.27357e-5	1.43987e-4	1.80985e-4	3.73539e-5	1.17443e-4	5.60301e-7	1.86219e-5	7.37385e-5	2.36409e-5	1.5883e-4	1.46883e-4	1.48708e-5	4.1803e-5	7.57928e-5	8.4586e-5	2.24215e-5	1.92665e-4	4.83783e-5	1.29519e-4	1.32356e-4	2.17923e-5	1.09272e-4	4.27981e-5	9.34678e-5	1.57034e-5	5.06516e-5	2.83419e-5	9.29639e-5	1.90109e-5	3.18651e-5	1.11842e-4	4.71455e-5	3.37685e-5	6.64338e-5	1.09702e-5	1.63527e-4	1.66762e-6	3.87812e-5	3.75292e-5	7.87015e-5	6.86727e-6	9.44214e-5	3.5869e-4	4.56476e-5	1.67681e-5	3.95506e-5	2.72259e-5	1.3315e-5	3.51075e-5	0	3.02202e-4	1.84413e-4	9.75064e-5	4.00638e-5	1.81999e-5	2.50491e-5	0	2.40648e-5
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	0	1.04895e-7	0	0	4.70433e-7	0	0	4.37112e-6	0	0	0	0	0	3.10452e-6	0	2.09404e-6	0	0	0	0	0	0	1.06467e-5	0	0	0	0	0	4.83636e-6	0	0	0	1.84789e-6	0	0	0	4.16478e-7	6.37055e-6	5.62584e-6	9.81586e-6	1.66352e-6	0	0	0	0	0	0	2.98813e-6	0	5.92928e-6	0	0	0	0	4.73217e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38578e-5	0	0	5.60142e-6	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	4.29583e-6	0	2.53532e-6	0	0	8.6016e-6	0	0	0	0	0	4.9084e-6	0	0	0	0	0	0	0	0	0	0	0	3.9874e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53082e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06898e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4504e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	1.49296e-6	4.02859e-6	0	0	0	0	0	0	0	0	0	0	0	0	4.45571e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19392e-6	0	0	0	0	0	0	1.7333e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	6.76842e-6	0	0	0	0	0	0	0	0	0	0	1.34604e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11561e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0	1.50226e-6	0	0	0	1.19283e-6	0	0	0	0	3.87769e-7	1.71554e-5	1.19661e-5	0	0	2.01557e-6	0	2.4864e-6	0	0	0	1.89129e-5	1.38249e-5	4.76658e-6	0	9.24047e-7	2.46957e-6	2.42235e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49102e-7	0	0	0	0	0	0	0	0	6.06446e-7	8.05191e-6	0	0	0	0	0	0	0	0	0	0	1.76689e-5	0	8.12149e-6	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	1.18938e-5	0	0	0	0	0	0	0	0	0	0	6.49522e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.20325e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	2.053e-6	6.11876e-6	2.38201e-6	0	0	0	5.00671e-6	0	2.0491e-5	0	0	0	5.57049e-6	0	0	2.38156e-6	0	0	0	0	1.89404e-6	0	0	0	0	0	4.69794e-6	1.61852e-6	0	4.81861e-6	0	0	0	0	0	0	1.58003e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43508e-5	0	0	0	0	0	0
