bug	G79886	G79887	G79888	G79889	G79890	G79893	G79894	G79897	G79899	G79902	G79903	G79904	G79905	G79906	G79907	G79908	G79909	G79910	G79911	G79913	G79914	G79915	G79916	G79917	G79919	G79920	G79921	G79922	G79923	G79924	G79926	G79927	G79929	G79930	G79931	G79933	G79934	G79935	G79936	G79937	G79938	G79940	G79941	G79946	G79947	G79948	G79949	G79950	G79951	G79953	G79955	G79956	G79957	G79960	G79961	G79962	G79963	G79964	G79965	G79966	G79967	G79968	G79969	G79970	G79971	G79972	G79973	G79974	G79975	G79976	G79979	G79980	G79981	G79983	G79985	G79986	G79987	G79988	G79989	G79994	G79995	G79996	G79998	G79999	G80000	G80001	G80002	G80003	G80004	G80005	G80008	G80011	G80015	G80016	G80019	G80020	G80022	G80024	G80025	G80027	G80028	G80030	G80031	G80032	G80036	G80037	G80038	G80040	G80041	G80042	G80043	G80046	G80049	G80050	G80051	G80053	G80054	G80055	G80058	G80059	G80060	G80062	G80065	G80066	G80067	G80068	G80069	G80070	G95634	G95635	G95636	G95637	G95638	G95639	G95640	G95641	G95642	G95643	G95644	G95645	G95646	G95647	G95648	G95649	G95650	G95651	G95652	G95653	G95654	G95655	G95656	G95657	G95658	G95659	G95660	G95661	G95662	G95663	G95664	G95666	G95667	G95668	G95669	G95672	G95673	G95674	G95676	G95677	G95678	G95679	G95680	G95681	G95682	G95683	G95684	G95685	G95686	G95687	G95688	G95689	G95690	G95691	G95692	G95693	G95695	G95696	G95697	G95698	G95699	G95700	G95701	G95703	G95704	G95705	G95706	G95707	G95708	G95709	G95711	G95713	G95714	G95715	G95717	G95719	G95720	G95721	G95723	G95725	G95726	G95728	G95729	G95730	G95731	G95732	G95733	G95734	G95735	G95736	G95737	G95739	G95740	G95741	G95742	G95743	G95745	G95746	G95747	G95748	G95749	G95750	G95751	G95752	G95753	G95754	G95755	G95756	G95757	G95758	G95759	G95760	G95761	G95762	G95763	G95764	G95765	G95766	G95768	G95769	G95770	G95771	G95772	G95773	G95774	G95775	G95776	G95777	G95778	G95779	G95780	G95781	G95782	G95784	G95785	G95786	G95787	G95788	G95789	G95790	G95791	G95792	G95793	G95795	G95796	G95797	G95799	G95801	G95802	G95803	G95804	G95805	G95806	G95807	G95808	G95809	G95810	G95811	G95812	G95813	G95814	G95815	G95816	G95817	G95818	G95819	G95820	G95821	G95822	G95823	G95824	G95825
s__Prevotella_stercorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.286e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.141e-4	0	0	0	0	0	0	0	0	0	0	5.170769e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.460001e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02498135	0	0	0	0	0	0.332316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.096799e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03537963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Prevotella_timonensis	0	0	2.800297e-6	0	0	0	0	3.433929e-4	0	0	0	0	0	0	0	2.015719e-4	0	0	0	0	0	0	2.690906e-5	0	0	0	0	0	0	2.016e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.647095e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.362093e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.019999e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.396288e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.040796e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005727812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alistipes_finegoldii	0	0.002334499	0	0	0	0	0	0	0	4.728089e-4	0	0	0	0	0.0226042	0	3.86e-5	0.01278582	7.034e-4	0	0	0	0	0	2.164999e-4	0	2.040403e-4	0	0	0	0	0	0	0.006019601	0.03576731	0	0	0	0	0.007640818	0	0	0	0	0	5.83764e-4	0	0	0	0	2.123e-4	0	0	2.912433e-4	0	0	0	0.001568065	0.04847718	0	1.101563e-5	0	5.928509e-4	0	0.007595537	6.110003e-4	0	2.836295e-4	0.004489257	0	0	0	4.318434e-4	0.0142472	0	0.003179299	0	0.0291602	0	0	0	1.026256e-4	0	0	0	0	5.11774e-4	6.453e-4	0	0	0	1.572e-4	0	0	0.0129363	9.119622e-4	0.09569522	0	0	0	0	0	0.0228002	0	0.05246779	3.233134e-4	0.001708116	0	1.024e-4	0	0	0.008924402	0	0	0	0.0012452	0.005635	8.085e-4	0	0	0	2.333448e-4	0	0	0	0	0	0	0.0033424	0	0	0	0.001116416	0.0443273	1.015346e-4	0	0	0	0.001998366	0.0014811	0.0074144	1.027e-4	0	0.0043735	0.02683794	1.057e-4	0.0011675	3.530935e-4	0.006537901	0.006577499	0.002782761	0.001499579	0.02757791	0.009456299	0	0.0040722	0	0	0	3.172743e-4	4.815001e-4	6.390258e-5	0	0	0.003385799	0.00966789	0	0.00268165	4.140647e-5	0.008006285	0	0.0023353	0	0	8.869257e-4	0.01375178	0.01377311	2.26614e-4	0	0.005789022	0	8.288307e-4	0	7.976618e-4	0	0.0149338	2.603438e-5	0.01912023	0.09252843	0.002399607	0	0	0	0	0	0	0.03029021	5.940002e-4	0	0	0	4.433845e-4	0.0591299	1.887899e-4	0	0	0	0.003965858	0	0.0235204	0	0	8.609999e-5	0	2.926247e-4	0.008601028	3.20266e-4	1.584e-4	6.027998e-4	7.709999e-4	0.002181099	0.004122978	0	2.047202e-4	0	0	5.549999e-4	0.004246265	0.003515814	6.231001e-4	0.0159883	0.01095997	0.00905497	0	0.001646018	0	0	0.002505607	1.993526e-4	0	0	0.004219152	0.004001964	5.847594e-4	0	0	6.385011e-4	0	0.004276358	8.544631e-5	6.412002e-4	3.140956e-4	0.004548743	0.008996111	5.247998e-4	3.697171e-5	4.641542e-4	0	0.002853364	0.009552476	0.0016445	3.7e-5	4.828196e-4	4.886136e-4	5.782131e-4	5.784001e-4	0	8.519624e-4	6.829003e-4	0.02618498	0	0.001485136	0.005027301	0.005088099	3.626075e-4	0	0.0028215	0.003382089	0.0278006	0	0.0035046	0.01070168	0	0.007697897	0	0	4.305938e-4	7.119999e-5	0.0233975	0.004128601	0.0011416	0	0	1.779559e-4	0.008252598	0.002433455	6.947999e-4	0.009375735	0	0
s__Alistipes_indistinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.277e-4	0	0	0	0	0	0	0	0	0	0	0	0.002308056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001866324	0	0	1.37e-5	0	2.881e-4	0	0	0	0	0	0	0	0.0011195	0	0	1.108107e-4	0	0	0	0	0	0	0	0	0	0	2.496563e-4	0	6.658504e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013495	0	0	0	0	0	0	0	6.176999e-4	0	0	0	4.099999e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.916898e-6	0	0	0	0	0	0	4.399999e-6	0	0	0	9.039e-4	0	0	0	0	0	0	0	0	0	4.715e-4	0	0	0	0	0.0019091	0	0	0	0	0	0	0	0	0.005412011	0	0	0.0074071	0	0.001429161	0	6.295059e-4	0	0	0	0	0	0	0	0	0	0	5.755999e-4	1.75908e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.539862e-4	0	0	0	0	0	0	0	7.726356e-4	0	0	0	0	0	2.210454e-4	0	1.835664e-4	0	0	0	0	0	1.163e-4	0	0	0	0	0	7.119e-4	0	0	0	0	0	0.02193074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.439e-4	1.093258e-4	1.034411e-4	0.0012317	0.001456477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.098854e-5	0	0	0	0
s__Alistipes_onderdonkii	1.586593e-4	0.006387198	0	0	0.00254567	0	7.25505e-5	0	0	0.001413225	0	0	0.003941399	0.0195292	0.0017246	0	0	0.1142971	0.0051245	2.7e-6	0	0	0	0	1.55e-5	0	0.03554692	0.0054242	0	0	0	0.004749899	3.023831e-5	0	0.0127089	0	0	0	0.009549001	0.005770881	0	0	0	0.0120014	0.007958779	0.02387381	0	0	0.0011257	0	0.0121126	0.01196462	0.004236701	1.600238e-4	0	0	0	0.00153486	0.004238298	0	0.003482541	0.007726343	0	0	1.063047e-4	0.001586201	0	0.001731142	0.003244153	0	0	0.0023847	0.02048143	0.03429691	0.007274051	0	0	0	0	0	0	0.007708121	0	0	1.264214e-4	0	3.974083e-4	8.76e-5	0	0.0024294	0	0.0270549	0	0	0	0.01971321	0.009741802	0	0.005668962	0.024455	0	0	0	0	0.009176099	0.006516117	0	0	0.005324999	0.0594008	0.008090721	0	0	0	0	4.121001e-4	0.0061566	0.0323683	0.01267251	0.003382982	0	0.001483785	0	0.0111636	0	0.007683698	0	0	0.0024163	0	0	0.01457002	8.490089e-4	0.008997601	0.004616374	0	4.234369e-4	0	0.04301466	0.0138948	0.0025754	0.007264799	0	0.0816402	0.05826327	0.009546902	0.02516501	0.001475509	0.008325901	0	0.01820513	0.02297032	0.0620946	0.1051192	0	0	0	0	0.0693542	0.007236317	0.0176471	9.002363e-4	0	0.002971762	0	0.001947918	0	0.01114419	0	0.03317747	0.1019929	0.0330953	0	0	0.01275129	0.02737479	0	0	0	0.01105551	0	0.01740685	0	0.03713339	0	0.005615899	7.237356e-6	0.04521413	0	0.01684045	0	0	0	0	0	0	0	0.009910803	0	0	0	0.007216313	0	0	0	0	0	0.001594849	0	0	0.009162599	0	0.003209	0	0	1.616166e-4	3.632748e-4	0.007957601	4.219999e-5	0.006047699	0.004123498	0	6.53e-5	0.002019531	6.199999e-6	0	0.005793599	0.002102924	0.004732084	0.033323	0.09406401	0.02220518	0.02840563	8.555529e-4	0.02048363	0.0250061	0	0.002957272	0.001851589	0	0	0.01707544	0.01549532	0.0268481	0	0	0.02123776	0	0.004397271	1.773338e-4	0.003216838	0.004076839	3.470185e-4	0.01127495	0.002461899	0	0.01612595	0.004815106	0.0024372	0.002436434	0.0542411	0.016381	0.04284494	2.521065e-4	0.001543475	0	0	0.01466167	0.02747721	2.140382e-5	2.519e-4	0.01826277	0.001907948	0.006974599	3.295132e-4	0	0.0425973	0.005470343	0.015172100000000001	0	0.0169497	0.006249221	0	0.02914329	0	0	0	0.007878598	0	0.0178925	0.0245617	0	0	0.007745231	9.999998e-6	0.009525764	0	0.0192579	0	0
s__Alistipes_putredinis	0.002178935	0.07621468	0	0	0.05095234	0	0.00124947	0	0	0.0563428	0	0	0.05952079	0.0426043	0.03013151	0	2.607e-4	0	0.066915	8.182999e-4	0	0	0.1336377	3.432488e-4	8.349997e-5	0	0.08471584	0.0563012	0	0	0	0.05340509	3.023831e-4	0	0.03083691	0	0.1484544	0	0.1005523	0.005429087	0	6.719002e-4	0	0.05979661	0.07427884	0.07056822	0	0	0.0388242	0	0.1011692	0.03614583	0.017976	4.23463e-4	0	0	0	0.1193281	0.06094298	0.003163	0.0468745	0.05761274	0.003150865	3.665946e-4	0.002315303	0.1646053	0.001398428	0.2852783	0.05217395	0	0	0.040745	0.09100944	0	0.1213347	0.0160493	0	1.742e-4	0.1926434	0	0	0.05934039	0	0	0.002837414	0	4.559515e-4	4.058e-4	0	0.018151	0	0.07858961	0	0	0	0.001283628	0.05364811	0	0.01990329	0.09965881	0	0	0.09342602	0	0.08978049	0.1161635	0.01872047	0	0.06674069	0.0564325	0.03681016	6.712001e-4	0	0	0	9.950002e-5	0	0.1190926	0.06241945	0.04047273	0.1200718	0	0	0.02367291	0	0.04993679	0	0	0	0	0	0.04207386	0.01022578	0.05822431	0.02255909	0	0	0	0.04891328	0.1902461	0	0.0370452	0	0.0838686	0	0.04633481	0.05656141	0.05988672	0	0	0.06325367	0.09726225	0	0.2385587	0	0	0.01707446	0	0.0480645	0.01581123	0.04813761	0.00941758	0	0.01563256	0	0.05039886	0.1953574	0.06542292	0.0164167	0.05104814	0.0431417	0	0.1119471	0.3125497	0	0.06403361	0	0.05105476	0	0.02692021	0	0.04201503	0	0.04775723	0	0.05282689	0.002061842	0.051364	0	0	0	0.1882828	0	0	0	0	0	0.1107223	0	0	0	0.05119859	0	0	0	4.839679e-4	0.039432300000000003	0.04089778	0	0	0.08371209	0	0.0303389	0	0	0.001049006	0.002583432	0.0397778	8.549997e-5	0.0047303	0	0	1.854e-4	0.1011119	9.879998e-5	1.633194e-4	0.0375299	0.01362924	0.009165707	0.07765701	0.08282791	0.00250854	0.04143604	0.003305586	0	0.0339651	0	0.03081708	0.01735238	0.03057194	0	0.008966881	0.02970969	0.08042214	0	0	0.05599516	9.491674e-5	0.069449930000000007	0.01896948	0.03356056	0.006559485	0.02225759	0.01615433	0.015485	0.03062803	0.03368742	0.03246659	0.008789202	0.002806443	0.0336856	0.1125882	0.06303516	0.008264564	0.006424602	0.08782761	0.005563999	0.05148537	0.06781123	0.05604361	2.93e-4	0.07078056	0.02010125	0.03847269	6.019636e-4	2.06872e-4	0.0535757	0	0	0	0	0	0	0	0	0	3.669857e-4	0.04516449	0	0.09585892	0.07734809	0	0.06396051	0	0	0.05326535	0	0	7.274263e-4	0
s__Alistipes_senegalensis	0	6.369998e-5	0	0	0	0	0	0	0	1.140504e-5	0	0	0	0	1.365e-4	0	0	0	0	0	0	0	0	0	1.081e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38e-4	0	0	0	0	1.946289e-4	0	0	0	0	5.005998e-4	0	0	4.978479e-4	0	0	0	0	0	0	0	0	0	0	0	0	0.002532192	0	0	0	0	0	0	0	0	0	0	0	0	3.664e-4	0	0	0	0	0	0	0	0	7.688002e-4	0	0	0	0	0	0	0	5.957999e-4	2.882795e-5	0	0	0	0	0	0	0	0	0	1.517e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64e-5	0	0	0	0	0	8.869998e-5	0	0	0	0	0	0	0	4.150274e-4	0	0	3.130969e-5	7.647405e-4	0	5.119999e-4	0	0	0	0	0.0017875	2.320469e-4	4.607001e-4	0	0	0	0	0	0	1.710351e-5	0	0	0.0033663	1.69e-5	0	0	1.115453e-4	0	0	0	0	0	0	0	0	0	0	1.26e-4	0	0	0	0	0	0	0	0	0	0	0	1.471e-4	0	0	0	2.100769e-4	0	0	0	0	0	2.537467e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.399554e-4	0	1.273235e-5	0	0	1.977e-4	0	0	0	0	0	0	0	0	5.609e-4	0	0	0	0	0	2.795327e-4	0	0	0	0	2.14634e-4	0	0	0	2.026955e-4	0	2.480132e-5	4.7715440000000003e-05	0	0	1.277525e-4	0	3.334516e-5	0	4.36e-4	0.0022536	0	6.098864e-5	0	0	0	2.812206e-4	3.271001e-4	2.040364e-5	0	1.251746e-4	2.528901e-4	0	1.667907e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08315068	8.900002e-6	0	0	0	0	0	6.201951e-4	0	0	0	0
s__Alistipes_shahii	0	0.003025299	0	0	0	0	0	0	0	0.001073775	0	0	0	0	0.02519591	0	0	0	0.0014958	0	0	0	0	0	0.002078699	0	0.002930379	0	0	0	0	0	0	0	0.0169749	0	0	0	0	0	0	0	0	0	2.730336e-5	4.651307e-5	0	0	0.003987	0	0	0	0	0.003052254	0	0	0	0	0.05090318	0	0	0.002120104	5.9125e-4	0	0	0	0	0	0	0	0	0	0	0	0.01253025	0.003786899	0	0	0	0	0.005236701	0	0	0	0	0	8.000563e-5	0.0051398	0	0	0	0	0	0	0	0	0.1459101	0	0	0	0	0	0.0155181	0	0.0413929	0	0.002736486	0	0	0	0	5.887001e-4	0	0	0	0.004610401	0	0	0.001357751	0	0	0	0	0	0	0	0	0	0.0078299	0	0	0	0.007561329	0.0230664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02233624	0	0.0149669	0.004662643	0.03149987	0	0.0248551	0	0.003133	0.001662266	0	3.457e-4	0	0	0.001705969	0	0	0.009152298	0.007644179	0.05980739	0.02150831	0.003027532	0	5.914e-4	0.0196519	0.009708608	0	0.002038318	0	0.007399438	0.004347859	0	0	0	0	0	0	0	0.008860898	0.001145814	0	0.05279232	0	0	0.02136245	0	0	0	0	0.05437769	0.0111813	0	0	0	0.01573494	0.0426331	0	0	0.01922307	0	0.008859212	4.632001e-4	0.0135324	0.0165851	0	0	0	0.001955465	1.922577e-5	2.051423e-4	0	0.010077	0.0229018	0	0.01685411	0.0245138	0.003373772	0.0186363	0	0.007428399	0.01535482	0.003410265	2.22e-5	0	0	0	0	0	1.126e-4	0	0.005848248	1.66644e-4	9.552442e-5	0	0.01341566	8.174774e-4	0	0	0	0	0	0.01447725	0.001907194	8.569405e-4	0	0.00393551	0.004692218	7.348998e-4	0.005137149	0	0.002496407	0.001710316	0.01449921	1.609e-4	0	0.002916118	0.002916887	7.297192e-4	0.007173001	1.669e-4	0.01390972	0.007963103	0.01689382	0	0.006927302	0.003887204	0.007605498	6.223039e-4	0	0	0	0	0.004259815	0.0047857	0	0	0.007860197	0	0	0.008043225	0	0	0.005434401	0	0	0	0.0028664	0.007219199	0.005101176	0.0014353	0	0	0.004395725
s__Alistipes_sp_AP11	0	0.003818699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018164212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004570998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003308401	0	0	0	0	0	0	0	0.0025113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039913496	0.009825516	0	0	0	0.004091	0.011010116	0	0	0	0	0	0	0	0	0	0	0	0	0.008143098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002643099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alistipes_sp_HGB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024385319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005732401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252597	0	0	0	0	0	0	0	0	0	0	0.0057315	0	0	0.053035183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016523412	0	0	0.052871795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068767085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006245601	0	0	0	0	0	0	0	0	0	0	0	0.023636702	0	0	0	0	0	0	0	0	0	0	0	0	0.003345719	0	0	0	0	0	0	0	0	0	0	0.001536197	0.0012482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023360995	0	0	0	0	0	0	0	0	0	0.02607699	0	0	0	0	0	0	0.131085687	0	0	0	0	0	0	0	0	0
s__Alistipes_unclassified	0	0	0	0	0	0	0	0.009015795	1.108541e-4	0	0	0	0	0	0	0.003125816	3.19e-4	0	0	0	2.586492e-4	1.081333e-4	0	0	0	0.001482384	0	0	0	0	0	0	0.001114223	0.004689701	0	0	0	0.001963	0	0.01134874	0	7.730002e-5	2.04e-5	0	0	0	0	0	0	0	0	0.02307213	0	0	0	0	0	0	0	0	0	0	4.843867e-4	0	0.003804069	0	0	0	0	0	0	0	0	0.0147618	0	0.0020437	0	0.0271245	0	0	0	0	0	5.0189e-4	0	0	0	0	4.602383e-6	0	0.04739341	0	0	0	0.0139716	0	0	0	0.007406265	0	0	0	0	0	0	0	0	0.0420029	0	0	0.01636645	0.005665001	0	0	0	0	0.0087904	0	0	0	0	0	0	0.006454402	0	0	0	0.002321038	0	0	0.0247639	0	0	0	0	0	0	0	0	0	0.0103974	0	0	0	0.02918794	0	0	0	0.010613	0	0	0	0.02753071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006000302	0.009697339	0	0	0	0	0	0	0	0	0	0	0	0	0	3.766209e-4	0	0	0	0	2.358e-4	0	0	0	0	1.486096e-4	4.419373e-4	0.009748266	0	0	0	0	0.002103299	0	0	0	0	0	0	0	0	0	0	0.00472643	0	0	0	0	0	0	0	0	1.419052e-5	0	0	0	1.09e-5	0	0	9.178983e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004089907	0.0204255	0	0	0.008283179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01131537	0	0
s__Cellulophaga_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.245e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33e-4	0	0	0	0	0	0	0	0	9e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.809998e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Pedobacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	7.369999e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.559999e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.488e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.158e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2944e-4	1.675089e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Deinococcus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.085575e-4	0	0	0	0	0	0	8.346149e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.150229e-5	0	8.77205e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.890108e-5	8.634125e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.053e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.808128e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.620423e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
