Pathway	G79887	G79888	G79890	G79893	G79899	G79902	G79904	G79906	G79907	G79908	G79910	G79911	G79914	G79915	G79916	G79917	G79919	G79924	G79926	G79931	G79933	G79935	G79936	G79937	G79938	G79940	G79941	G79946	G79947	G79951	G79953	G79955	G79956	G79960	G79961	G79962	G79963	G79965	G79968	G79971	G79975	G79976	G79979	G79980	G79981	G79983	G79985	G79987	G79988	G79994	G79995	G79996	G79998	G80000	G80001	G80003	G80004	G80005	G80008	G80011	G80020	G80022	G80024	G80030	G80036	G80041	G80043	G80046	G80049	G80050	G80053	G80054	G80055	G80058	G80065	G80066	G80067	G80068
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	2.23379e-5	0	0	0	0	0	0	0	0	0	0	1.32147e-5	3.78146e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3692e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22403e-5	0	0	5.55589e-5	0	0	5.29249e-7	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	5.01219e-6	0	3.27313e-6	0	0	0	9.87792e-6	0	0	0	0	0	0	0	8.87209e-7	0	0	0	0	0	0	1.11761e-5	0	3.04303e-5	0	0	0	0	0	3.58066e-6	1.23738e-5	0	0	0	0	1.0017e-6	3.43483e-5	4.41903e-6	9.60653e-6	0	0	0	3.5042e-5	7.20408e-6	0	3.81442e-6	0	0	0	0	0	1.53541e-5	1.5325e-5	8.09685e-6	0	0	1.15213e-6	4.08012e-5	0	0	0	0	0	5.34397e-6	2.84254e-5	3.40365e-7	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_1_1_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70969e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56207e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53314e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_3_2_5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70595e-5	0	0	0	0	0	0	0	0	0	0	2.67908e-5	0	0	0	0	0	0	0	0	0	6.61816e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26201e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	1.58858e-4	0	0	0	0	0	4.74753e-6	0	4.92101e-5	0	0	0	9.72346e-6	0	0	0	0	0	0	0	2.70927e-4	0	0	0	0	5.59264e-7	0	3.86916e-5	0	0	3.04146e-5	0	0	0	0	1.16656e-5	4.64415e-5	4.02975e-5	3.0797e-6	0	0	2.71956e-4	0	2.85697e-6	1.53898e-5	0	1.53299e-4	0	2.55759e-5	5.5782e-6	0	1.06675e-5	0	0	0	0	0	1.34351e-5	2.87568e-6	2.48952e-7	2.0423e-7	0	3.35787e-7	0	2.58117e-5	5.36438e-5	0	0	0	4.13435e-6	3.21489e-6	5.1117e-5	0	2.85239e-5	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	1.27887e-6	0	7.32046e-6	1.14387e-5	6.37102e-5	0	8.68949e-6	0	0	0	9.53923e-5	0	2.55944e-5	0	0	1.67041e-5	0	0	0	0	1.3642000000000001e-05	4.13831e-7	0	9.6837e-6	5.24579e-6	3.32875e-7	0	0	0	1.93329e-6	0	0	1.30945e-6	0	1.1648e-5	0	4.2021e-6	5.46506e-7	1.31213e-7	0	0	7.02774e-5	0	3.78765e-6	0	0	0	7.20057e-7	3.14772e-7	0	0	1.96946e-5	2.3677e-6	4.10336e-6	0	0	2.09165e-6	1.43046e-5	1.45747e-5	0	3.4791e-5	8.64219e-5	1.78126e-6	1.27533e-6	3.07674e-5	8.71686e-7	0	5.33722e-6	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	4.71492e-5	0	0	0	0	3.19393e-5	0	4.64702e-6	3.03854e-6	0	6.74449e-5	2.55782e-5	0	3.15165e-5	8.42985e-5	2.61043e-6	1.44419e-5	0	1.1782e-4	0	5.77854e-5	4.2414e-5	0	0	3.44532e-5	3.50233e-7	2.16287e-6	1.01544e-5	7.99661e-5	2.02599e-5	4.07889e-5	8.27112e-5	1.88167e-5	2.05126e-5	1.01766e-5	7.38398e-5	4.55002e-4	1.20495e-5	9.1842e-6	5.00692e-5	0	1.08873e-5	5.4296e-5	0	9.95546e-5	2.05429e-5	5.62471e-6	3.96137e-5	1.70166e-4	0	3.73575e-5	2.28574e-6	0	1.09809e-6	0	2.2013e-5	1.30167e-4	0	0	3.3757e-6	3.55727e-5	4.72466e-5	0	7.90703e-5	1.59593e-5	1.38968e-4	2.89006e-5	1.109e-4	0	2.46338e-4	2.3553e-5	3.81442e-5	8.73391e-5	4.90392e-5	0	1.95946e-5	0	1.36289e-5
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	3.88699e-6	1.92075e-5	3.53641e-5	0	0	0	0	0	0	0	3.89797e-5	0	0	1.05066e-5	0	1.8886e-5	0	0	0	1.29946e-5	4.65775e-6	1.83093e-5	0	0	0	0	4.88355e-7	0	1.69621e-5	0	0	7.40138e-7	0	0	0	0	3.10094e-7	0	6.76967e-7	0	0	2.148e-6	0	0	6.09634e-7	1.35067e-5	0	3.95537e-5	0	0	5.27027e-6	0	0	7.6268e-7	0	3.08193e-6	0	0	0	0	8.98008e-6	0	0	0	0	0	3.24727e-5	0	0	0	0	1.2604e-5	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	6.55537e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73392e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14979e-6	0	0	0	0	0	0	6.12954e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	1.42083e-6	0	0	0	0	0	0	0	2.00908e-6	0	0	0	3.83213e-6	0	0	0	4.59058e-7	0	0	0	0	0	7.29231e-7	0	0	7.54617e-7	3.98563e-6	0	0	0	0	1.30403e-6	0	0	0	7.00164e-6	0	0	0	0	1.65689e-5	6.21057e-6	0	0	1.07155e-5	0	0	0	2.16209e-6	1.46354e-6	0	0	3.63601e-6	0	0	0	0	0	1.66815e-6	1.30535e-6	0	5.07391e-7	0	0	0	1.25517e-5	0	1.31489e-6	3.22652e-6	8.67824e-7	2.58109e-7	0	0	3.11238e-7	1.18256e-5	0	4.06477e-7
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03972e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48768e-7	4.98276e-7	0	0	0	0	1.45584e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33564e-7	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	1.50811e-5	6.38255e-7	2.33609e-5	1.28919e-5	1.89991e-5	1.68352e-5	0	0	0	0	4.44566e-6	9.74289e-6	0	0	0	0	0	4.61244e-6	0	0	0	0	3.92737e-5	0	0	0	0	1.43841e-6	3.48297e-5	0	0	4.88037e-6	4.62293e-6	0	0	0	0	1.19923e-5	0	1.6684e-6	0	0	0	2.06129e-5	3.98463e-6	0	0	0	2.81806e-6	0	4.56375e-6	3.71834e-6	1.70688e-5	0	1.11689e-4	0	0	0	0	4.52365e-6	0	1.4438e-5	1.98976e-5	0	1.22992e-5	5.66989e-6	6.61099e-6	1.01541e-6	0	0	0	0	1.09938e-5	3.75596e-6	4.41978e-5	6.48337e-6	1.87522e-5	7.99311e-7
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_johnsonii	0	0	0	0	0	0	0	0	2.12151e-6	0	0	0	0	0	0	0	1.38607e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56799e-6	0	1.16664e-6	0	0	0	3.66931e-6	0	0	0	0	0	0	1.02117e-5	0	0	0	0	0	0	0	0	0	0	3.29875e-6	0	0	0	0	0	1.85233e-6	0	0	6.37421e-6	5.0153e-6	0	0	0	0	1.00293e-6	0	0	4.79799e-7	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	8.79448e-6	0	7.43425e-6	0	0	9.27103e-6	0	0	0	0	0	1.33418e-5	0	0	1.95146e-5	0	0	0	0	0	6.31936e-6	0	1.08241e-5	6.12306e-6	0	0	5.76742e-7	0	4.65444e-7	1.86346e-6	0	0	1.74755e-5	1.68006e-6	0	0	0	0	4.79011e-7	6.5537e-6	1.4837e-5	0	0	9.34902e-6	0	9.91434e-6	7.13966e-7	0	1.50179e-5	0	2.48458e-5	0	0	0	0	2.85104e-6	0	0	0	0	1.53374e-5	0	0	0	0	0	1.57646e-5	5.33321e-6	0	0	1.88234e-6	8.16393e-6	0	7.29383e-6	0	2.34718e-5	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Proteus.s__Proteus_penneri	0	0	0	0	0	0	0	0	0	8.85616e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82383e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50221e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	5.80487e-6	0	0	0	0	8.14479e-6	0	0	7.55086e-6	1.01416e-5	0	9.90766e-6	3.40081e-6	0	5.2637e-6	0	0	3.81897e-6	0	0	3.06631e-5	0	0	0	0	0	1.788e-5	5.71656e-6	4.74869e-6	9.57178e-6	0	2.44573e-6	3.43771e-5	7.44177e-6	0	0	2.09746e-6	1.16898e-5	9.45043e-6	0	1.08984e-5	0	0	0	0	2.36269e-5	1.07596e-5	0	0	1.84675e-6	0	0	0	0	0	0	1.98416e-6	0	0	4.59174e-6	7.55027e-6	1.63209e-5	0	6.84789e-6	2.13806e-5	2.97761e-6	1.15418e-5	0	3.2798e-6	0	9.93649e-6	1.07326e-5	7.28541e-6	0	2.59149e-5	8.13282e-6	0	1.04696e-5
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53026e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|g__Clostridium.s__Clostridium_scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62037e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67614e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	2.72033e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5376e-6	0	0	0	0	0	0	0	4.82689e-7	0	0	0	0	2.54834e-7	0	0	0	0	2.51792e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53862e-5	0	0	0	3.72096e-6	0	0	0	0	2.32469e-5	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	2.72033e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5376e-6	0	0	0	0	0	0	0	4.82689e-7	0	0	0	0	2.54834e-7	0	0	0	0	2.51792e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53862e-5	0	0	0	3.72096e-6	0	0	0	0	2.32469e-5	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	1.04322e-4	5.63485e-5	1.85311e-4	9.87298e-5	2.03946e-4	1.45221e-4	0	3.66331e-5	1.00127e-4	7.37891e-5	6.70344e-5	1.21991e-4	1.57861e-4	5.68102e-5	1.66571e-4	1.17056e-5	6.54247e-5	2.2462e-4	6.86896e-5	0	1.09761e-4	2.53048e-5	1.30485e-4	1.20623e-4	5.02287e-5	3.26495e-5	1.56288e-4	1.09262e-4	1.82078e-4	1.29085e-4	1.0195e-4	2.59354e-4	9.7112e-5	5.43598e-5	3.87081e-5	4.37848e-5	7.13491e-5	1.09115e-4	1.17562e-4	1.10315e-4	8.73439e-5	9.61235e-5	7.81732e-5	1.19472e-4	2.255e-4	1.33526e-4	1.15907e-4	5.61409e-5	9.5804e-5	1.22042e-4	1.90135e-4	8.0125e-5	1.11234e-4	5.82167e-5	1.57777e-4	6.561e-5	1.57111e-5	4.68489e-5	4.09992e-5	1.47895e-4	1.31138e-4	7.97077e-5	1.60671e-4	1.01136e-4	1.2554e-4	2.32515e-4	1.35499e-4	1.15967e-4	1.2479e-4	9.21995e-5	7.54616e-5	9.13393e-5	1.10971e-4	1.57961e-4	1.80224e-4	1.16775e-4	1.44913e-4	6.7602e-5
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	1.08922e-6	0	0	7.89768e-6	6.73157e-7	0	0	0	0	0	0	0	0	0	4.90466e-7	0	1.82396e-6	7.86828e-6	0	0	0	0	2.54836e-6	0	0	0	0	0	0	0	0	2.49339e-5	1.26857e-5	0	0	0	0	0	0	3.4302e-6	3.16456e-6	0	0	6.8305e-6	0	0	0	0	0	0	1.02095e-6	0	0	0	0	0	2.27996e-5	0	1.66479e-6	0	2.69112e-6	0	0	0	0	1.92274e-5	0	9.87689e-7
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	1.02588e-5	0	0	0	7.18903e-6	0	0	0	0	0	0	0	0	5.96847e-6	0	1.78682e-5	0	0	0	9.01767e-6	0	0	8.0144e-6	0	0	3.15302e-5	5.1852e-6	0	0	0	0	1.31559e-5	2.25613e-5	0	0	0	0	3.98432e-6	0	9.24518e-6	0	0	0	0	5.83353e-6	7.4956e-6	0	0	0	0	0	0	0	0	1.78917e-5	0	0	2.13826e-5	0	4.54245e-6	0	0	0	0	0	6.614e-6	0	3.64771e-6	0	0	1.09648e-5	0	1.2211e-5	0	6.12194e-6	0	9.11705e-6
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	2.64101e-4	3.04917e-4	3.05354e-4	2.67147e-4	4.34314e-4	2.98788e-4	0	6.43264e-5	2.46959e-4	1.24065e-4	1.29888e-4	2.59364e-4	3.04194e-4	2.17033e-4	2.95627e-4	4.95441e-5	2.18962e-4	4.47026e-4	2.71929e-4	8.3248e-5	2.35353e-4	9.98729e-5	2.86342e-4	2.49841e-4	2.23876e-4	3.94102e-4	3.24127e-4	2.3536e-4	3.81875e-4	3.92096e-4	1.94525e-4	3.88019e-4	1.4436e-4	2.36416e-4	6.18559e-5	4.28073e-4	8.44546e-5	3.29349e-4	3.19847e-4	1.47726e-4	3.15081e-4	1.76098e-4	1.52619e-4	2.58308e-4	3.2496e-4	1.96934e-4	3.31728e-4	1.51935e-4	1.32043e-4	3.27599e-4	3.63354e-4	2.35465e-4	2.96026e-4	8.73374e-5	4.35401e-4	2.59293e-4	2.54947e-4	1.10225e-4	1.26377e-4	3.35307e-4	1.98431e-4	3.78522e-4	4.00366e-4	1.83438e-4	3.04649e-4	4.06496e-4	1.8376e-4	1.62038e-4	2.75187e-4	2.23774e-4	2.10611e-4	2.96021e-4	3.77861e-4	3.91025e-4	2.76068e-4	1.69576e-4	3.24056e-4	2.66163e-4
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31161e-7	0	0	0	0	0	0	0	0	1.70022e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08337e-7	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	2.54754e-6	0	0	0	0	2.18758e-6	0	0	6.77858e-6	0	0	0	0	0	0	0	1.03629e-6	0	0	0	0	0	0	0	0	0	0	0	0	2.15843e-6	0	0	0	1.54901e-6	0	0	0	2.73884e-5	5.94853e-7	0	0	0	0	0	0	0	6.13934e-6	0	0	0	1.55048e-6	0	0	0	0	3.1614e-6	0	0	0	0	0	7.61586e-5	0	0	1.85562e-5	0	0	3.55575e-7	0	0	1.74961e-6	0	0	1.2048e-6	0	0	0	0
