pwy_species	G89286	G89287	G89288	G89290	G89292	G89293	G89294	G89295	G89296	G89297	G89299	G89300	G89301	G89302	G89303	G89304	G89305	G89307	G89308	G89309	G89311	G89312	G89313	G89314	G89315	G89316	G89317	G89320	G89321	G89322	G89323	G89324	G89325	G89328	G89329	G89330	G89331	G89332	G89333	G89334	G89335	G89336	G89338	G89339	G89340	G89341	G89343	G89344	G89345	G89347	G89348	G89349	G89350	G89351	G89352	G89353	G89354	G89355	G89356	G89358	G89360	G89361	G89362	G89363	G89364	G89365	G89366	G89368	G89369	G89370	G89372	G89373	G89374	G89375	G89378	G89379	G89380	G89381
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0.357372	15.6743	0.490967	1.30492	2.13873	0.0915843	0.0916228	0.641222	0.751389	6.92402	4.738	0.848384	0.0157014	7.25833	2.35796	1.31442	49.2279	0.849806	6.55828	0.0151271	1.83461	0.372249	0.397698	1.21912	5.8039	7.7972	4.02008	2.16169	0.429233	3.11975	2.55218	2.0735	5.67789	0.323535	0.447545	10.2644	1.61959	1.45392	0.122123	0.321683	0.281461	1.05335	1.59171	0.543519	409.515	3.09979	6.34115	0.910186	35.9623	0.083251	2.91694	1.06809	0.178887	43.5313	54.0945	0.251608	4.88524	876.553	3.45771	26.8447	4.19518	9.05155	0.00300699	8.05732	17.4164	33.8507	8.12572	21.0633	1.56541	267.695	131.718	99.2754	22.3415	0.0226568	4.63915	12.5526	2.48455	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_breve	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	0.606851	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	0.037772	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	0.248091	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_longum	4.1642	15.6743	0.0030551	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	0.0474845	5.13677	5.8039	7.7972	0.214562	24.6235	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	0.751511	1.45392	1.66567	0.487781	1.66519	1.05335	1.59171	1.19706	7.57838	3.09979	223.401	0.424276	12.3214	20.594	0.115798	1.06809	3.29766	1.86767	11.9147	4.30291	13.3611	37.0002	3.45771	1.39564	0.432199	9.05155	0.0887313	8.05732	17.4164	33.8507	8.12572	4.3158	104.23	267.695	3.85147	2.97021	22.3415	7.64484	0.684755	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Citrobacter.s__Citrobacter_freundii	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.547937	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	0.274238	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Clostridium.s__Clostridium_perfringens	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	6.37937	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Coprococcus.s__Coprococcus_catus	4.1642	15.6743	0.166843	0.639902	7.49702	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Coprococcus.s__Coprococcus_eutactus	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	3.18193	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	0.548402	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	0.265842	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	0.552681	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Enterobacter.s__Enterobacter_aerogenes	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	0.115205	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.431772	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	0.19323	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	0.357269	1.05335	1.59171	0.543519	7.57838	0.366431	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	18.7065	0.651674	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	0.152805	0.324642	0.848384	3.12775	0.0899321	0.191593	0.0598922	1.38907	1.48047	6.55828	0.0151271	1.83461	0.443659	3.1777	0.117826	0.925185	0.957469	0.253107	0.838467	14.0307	2.33625	0.624881	2.0735	0.292508	0.822385	0.121037	10.2644	0.176431	1.45392	1.66567	6.26221	1.66519	1.03974	0.0112894	0.543519	7.57838	0.0151101	223.401	5.80116	35.9623	0.690705	0.0495057	1.06809	3.29766	0.0805857	54.0945	4.30291	4.88524	4.58826	3.45771	0.901356	0.0778118	9.05155	0.461513	8.05732	17.4164	33.8507	0.026245	21.0633	2.75935	12.9709	0.155184	1.0105	22.3415	7.64484	0.724944	0.0421583	31.494	1.5791
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Eubacterium.s__Eubacterium_siraeum	4.1642	15.6743	0.0282587	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	0.576075	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	0.0204527	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	0.0938301	0.12495	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	0.997899	0.0331118	1.05335	1.59171	0.0065982	0.913042	3.09979	223.401	0.424276	35.9623	20.594	0.159556	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	7.26118	8.12572	21.0633	104.23	267.695	3.85147	17.5044	0.0818317	7.64484	4.63915	3.47513	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.536743	0.211152	0.083058	0.124417	0.238707	0.153816	0.0916228	0.0587096	0.241751	6.92402	0.0468659	0.045737	3.12775	0.210863	0.120306	0.0481551	0.328629	0.619091	2.31755	0.187839	0.262231	0.0321314	0.00509455	0.18033	0.969071	0.00393683	0.846897	6.81373	0.364234	0.185347	0.374476	0.00113254	0.131269	0.345885	0.379674	0.00780663	1.61959	0.341785	0.181025	0.0338317	0.0958313	1.05335	20.9957	2.62562	0.267854	0.306566	0.138186	0.970068	0.841087	2062.15	0.400965	0.549581	3.6804	0.0142335	0.125202	0.0831911	0.00308178	1.056	2798.73	0.458609	280.202	0.848785	1.13246	0.00788464	0.0326691	0.0533179	0.182479	2.57859	104.23	5.53362	0.33924	0.417909	0.0340593	0.133477	0.0261314	0.0260085	0.323173	0.0855604
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	4.1642	4.81994	0.166843	1.26043	0.112189	1.00743	0.0916228	0.0436723	0.0244475	0.689121	4.738	0.848384	3.12775	0.207871	2.35796	0.0598922	1.38907	0.175635	6.55828	0.0151271	1.83461	0.141678	3.1777	0.156012	1.02725	0.43387	0.121018	2.16169	14.0307	0.179598	0.058346	2.0735	5.67789	0.201649	0.0232387	0.360583	1.61959	1.45392	0.0616496	6.26221	0.100092	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.113457	35.9623	20.594	0.274751	1.06809	3.29766	0.108593	0.218293	0.543151	0.778956	37.0002	3.45771	6.69765	0.201198	9.05155	0.0477542	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	1.12872	0.239598	22.3415	7.64484	0.412864	12.5526	5.73531	2.41141
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.0266565	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	0.418893	1.59171	0.543519	7.57838	3.09979	5.73211	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	4.1642	0.705749	0.166843	14.2488	0.263742	57.8493	0.0916228	14.3117	0.751389	0.382572	4.738	0.848384	3.12775	7.25833	0.19841	0.0598922	1.38907	0.0451775	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	0.255282	5.62437	12.4762	0.517454	0.0312638	6.56343	2.0735	5.67789	3.8584	6.69122	10.2644	1.61959	1.45392	1.66567	0.174965	0.351747	1.05335	1.59171	0.543519	7.57838	3.09979	10.1881	0.424276	35.9623	20.594	2.91694	0.114148	3.29766	1.86767	54.0945	4.30291	4.88524	8.31543	3.45771	1.14592	0.81963	9.05155	0.00764107	0.297002	17.4164	33.8507	8.12572	3.69023	104.23	267.695	3.85147	17.5044	1.95746	1.60825	0.974576	12.5526	6.6684	3.26571
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Proteus.s__Proteus_mirabilis	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	0.720047	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Pseudomonas.s__Pseudomonas_aeruginosa	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	0.643722	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	0.366857	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Streptococcus.s__Streptococcus_parasanguinis	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.216379	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	1.92348	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.12923	10.2644	1.61959	1.45392	1.66567	6.26221	0.233468	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	0.290975	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	26.8447	1.05396	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	2.07261	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Streptococcus.s__Streptococcus_salivarius	4.1642	15.6743	0.166843	0.639902	1.08583	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	2.35796	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	0.483266	5.8039	7.7972	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.0815288	10.2644	1.61959	1.45392	1.66567	6.26221	0.408319	1.05335	1.59171	0.543519	7.57838	0.327199	223.401	0.424276	35.9623	20.594	0.146837	1.06809	3.29766	1.86767	11.3746	4.30291	4.88524	37.0002	3.45771	26.8447	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	5.3534	104.23	267.695	3.85147	1.95782	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Streptococcus.s__Streptococcus_thermophilus	4.1642	15.6743	0.166843	0.639902	5.5309	1.00743	0.0916228	0.251503	0.751389	6.92402	4.738	0.848384	3.12775	7.25833	0.500694	0.0598922	1.38907	1.84021	6.55828	0.0151271	1.83461	0.443659	3.1777	5.13677	5.8039	1.70548	4.02008	2.16169	14.0307	2.33625	0.624881	2.0735	5.67789	3.8584	0.447545	10.2644	1.61959	1.45392	1.66567	6.26221	1.66519	1.05335	1.59171	0.543519	7.57838	3.09979	223.401	0.424276	35.9623	20.594	2.91694	1.06809	3.29766	1.86767	54.0945	4.30291	4.88524	37.0002	3.45771	0.908621	4.19518	9.05155	0.392512	8.05732	17.4164	33.8507	8.12572	21.0633	104.23	267.695	3.85147	17.5044	22.3415	7.64484	4.63915	12.5526	31.494	12.5652
